scenario_id,module,family,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,repetitions,bootstrap_B,tag,cut_years,m1,m2,estimator_or_operation,final_evidence_status,source_artifact
213,primary Cox,low_bladder,low_bladder,0.9,0.9,0.33,0.85,50000,2.6917,2.4908,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
214,primary Cox,low_bladder,low_bladder,0.75,0.85,1.0,1.0,50000,2.6917,2.4908,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
215,primary Cox,low_bladder,low_bladder,0.75,0.85,1.0,0.85,50000,2.6917,2.4908,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
216,primary Cox,low_bladder,low_bladder,0.75,0.85,0.5,1.0,50000,2.6917,2.4908,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
217,primary Cox,low_bladder,low_bladder,0.75,0.85,0.5,0.85,50000,2.6917,2.4908,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
218,primary Cox,low_bladder,low_bladder,0.75,0.85,0.33,1.0,50000,2.6917,2.4908,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
219,primary Cox,low_bladder,low_bladder,0.75,0.85,0.33,0.85,50000,2.6917,2.4908,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
301,QBA,qba,primary scenario 3,1.0,1.0,1.0,0.85,5000,-0.8,-0.5,5000,,"oracle calibration n=1,000,000 x 100",,,,analytic Normal bias convolution using strict Cox SE; four prior families,strict calibration and reanalysis completed,.\analysis\strict_qba\strict_qba_summary_36_rows.csv
302,QBA,qba,primary scenario 7,1.0,1.0,0.5,0.85,5000,-0.8,-0.5,5000,,"oracle calibration n=1,000,000 x 100",,,,analytic Normal bias convolution using strict Cox SE; four prior families,strict calibration and reanalysis completed,.\analysis\strict_qba\strict_qba_summary_36_rows.csv
303,QBA,qba,primary scenario 11,1.0,1.0,0.33,0.85,5000,-0.8,-0.5,5000,,"oracle calibration n=1,000,000 x 100",,,,analytic Normal bias convolution using strict Cox SE; four prior families,strict calibration and reanalysis completed,.\analysis\strict_qba\strict_qba_summary_36_rows.csv
304,QBA,qba,primary scenario 15,0.9,0.9,1.0,0.85,5000,-0.8,-0.5,5000,,"oracle calibration n=1,000,000 x 100",,,,analytic Normal bias convolution using strict Cox SE; four prior families,strict calibration and reanalysis completed,.\analysis\strict_qba\strict_qba_summary_36_rows.csv
305,QBA,qba,primary scenario 19,0.9,0.9,0.5,0.85,5000,-0.8,-0.5,5000,,"oracle calibration n=1,000,000 x 100",,,,analytic Normal bias convolution using strict Cox SE; four prior families,strict calibration and reanalysis completed,.\analysis\strict_qba\strict_qba_summary_36_rows.csv
306,QBA,qba,primary scenario 23,0.9,0.9,0.33,0.85,5000,-0.8,-0.5,5000,,"oracle calibration n=1,000,000 x 100",,,,analytic Normal bias convolution using strict Cox SE; four prior families,strict calibration and reanalysis completed,.\analysis\strict_qba\strict_qba_summary_36_rows.csv
307,QBA,qba,primary scenario 27,0.75,0.85,1.0,0.85,5000,-0.8,-0.5,5000,,"oracle calibration n=1,000,000 x 100",,,,analytic Normal bias convolution using strict Cox SE; four prior families,strict calibration and reanalysis completed,.\analysis\strict_qba\strict_qba_summary_36_rows.csv
308,QBA,qba,primary scenario 31,0.75,0.85,0.5,0.85,5000,-0.8,-0.5,5000,,"oracle calibration n=1,000,000 x 100",,,,analytic Normal bias convolution using strict Cox SE; four prior families,strict calibration and reanalysis completed,.\analysis\strict_qba\strict_qba_summary_36_rows.csv
309,QBA,qba,primary scenario 35,0.75,0.85,0.33,0.85,5000,-0.8,-0.5,5000,,"oracle calibration n=1,000,000 x 100",,,,analytic Normal bias convolution using strict Cox SE; four prior families,strict calibration and reanalysis completed,.\analysis\strict_qba\strict_qba_summary_36_rows.csv
901,H2 boundary,h2,no_direct_effect_under_confounding,0.9,0.9,0.5,0.85,50000,-0.8,-0.5,2000,,no direct effect; shared confounding present,0.5,1.0,1.0,other-cause overlap-weighted Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_h2_summary_7_rows.csv
902,H2 boundary,h2,harmful_early,0.9,0.9,0.5,0.85,50000,-0.8,-0.5,2000,,harmful multiplier 1.5 during 0-0.5 years,0.5,1.5,1.0,other-cause overlap-weighted Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_h2_summary_7_rows.csv
903,H2 boundary,h2,harmful_sustained,0.9,0.9,0.5,0.85,50000,-0.8,-0.5,2000,,harmful multiplier 1.5 throughout,0.5,1.5,1.5,other-cause overlap-weighted Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_h2_summary_7_rows.csv
904,H2 boundary,h2,protective_early,0.9,0.9,0.5,0.85,50000,-0.8,-0.5,2000,,protective multiplier 0.67 during 0-0.5 years,0.5,0.67,1.0,other-cause overlap-weighted Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_h2_summary_7_rows.csv
905,H2 boundary,h2,protective_sustained,0.9,0.9,0.5,0.85,50000,-0.8,-0.5,2000,,protective multiplier 0.67 throughout,0.5,0.67,0.67,other-cause overlap-weighted Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_h2_summary_7_rows.csv
906,H2 boundary,h2,harmful_early_low_event,0.9,0.9,0.5,0.85,50000,4.2074,3.1726,2000,,harmful early multiplier in CRC-anchored low-event regime,0.5,1.5,1.0,other-cause overlap-weighted Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_h2_summary_7_rows.csv
