scenario_id,family,module,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,estimand,method,planned_reps,master_seed,scenario_seed,median_HR_c,median_HR_naive,median_HR_o,bias_logHR_c,median_HR_percent_error_c,empirical_SE,avg_model_SE,rmse_c,coverage_c,coverage_naive,median_interval_width_log,directional_signal_rate,median_cross_ratio,mcse_bias,mcse_coverage,mcse_signal,successful,failed,failure_rate,convergence_warnings
11,main_hi,primary,,1.0,1.0,0.33,0.85,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,1710890882,0.7269665093969674,0.7314169054187332,0.8552607911190115,-0.15574479097178784,-14.474528306239128,0.04172456070229102,0.041688482255002865,0.16123594727247365,0.0414,0.0498,0.16342258100753515,0.927,0.8501861632409016,0.0005900743962923943,0.002817305095299407,0.003678885700861063,5000,0,0.0,0
12,main_hi,primary,,1.0,1.0,0.33,0.85,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,1319130456,0.7270595141569868,0.7316534359353644,0.8551335728953404,-0.15620682359223523,-14.46358656976626,0.013251414891853962,0.013173013291594555,0.15676777925776847,0.0,0.0,0.05163730846511677,1.0,0.8499262922715065,0.00018740330660692672,0.0,0.0,5000,0,0.0,0
13,main_hi,primary,,0.9,0.9,1.0,1.0,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,972130327,0.9998177504133288,1.000163154279583,0.9999863214987039,-7.387856943601791e-05,-0.01822495866712348,0.03938322157519446,0.039447352960630476,0.03937935235698469,0.9492,0.949,0.1546248029153347,0.0246,0.999718327603765,0.0005569628608158469,0.003105458420265838,0.0021906546966603386,5000,0,0.0,0
14,main_hi,primary,,0.9,0.9,1.0,1.0,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,300294571,1.0000720308022846,1.000034975621738,0.9999239645138519,-8.409016756090592e-05,0.0072030802284572815,0.012285394249452523,0.012462871968788047,0.012284453461118595,0.9516,0.9484,0.048855150203391984,0.0242,1.0000957400293382,0.0001737417116667619,0.0030350433275325743,0.0021732169703000204,5000,0,0.0,0
15,main_hi,primary,,0.9,0.9,1.0,0.85,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,184379484,0.8800513299258625,0.8787174288774151,0.999085599861621,0.03499521209599566,3.5354505795132436,0.03985421775648499,0.04027446709101194,0.05303494952284246,0.8574,0.8648,0.15786591642081987,0.0224,0.8811257507224339,0.000563623752689917,0.004945002325580847,0.002092760855903034,5000,0,0.0,0
16,main_hi,primary,,0.9,0.9,1.0,0.85,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,2636532921,0.8803434329654918,0.8788572874875842,1.0004934390714693,0.03512054286135832,3.5698156429990355,0.012506431352852823,0.012726361621153181,0.037280451632123374,0.2044,0.2316,0.04988679804627673,0.0222,0.8800343624278534,0.00017686764836092556,0.005702992898470065,0.002083610328252382,5000,0,0.0,0
17,main_hi,primary,,0.9,0.9,0.5,1.0,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,2612745165,0.9116658040011434,0.9138713595048928,0.9135379242871347,-0.09196056044554378,-8.833419599885662,0.04033899841634119,0.03985271101353544,0.10041739900900361,0.3634,0.369,0.15620252126520145,0.4978,0.9977968536394539,0.0005704795865293652,0.006802064980577589,0.007070999363597765,5000,0,0.0,0
18,main_hi,primary,,0.9,0.9,0.5,1.0,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,3692586629,0.9129801362675034,0.9149899847632489,0.9127674533772216,-0.09088514287626313,-8.70198637324966,0.012533851238234901,0.012594089151795827,0.09174516446666602,0.0,0.0,0.04937060800004366,1.0,1.0002216268005848,0.00017725542409878606,0.0,0.0,5000,0,0.0,0
19,main_hi,primary,,0.9,0.9,0.5,0.85,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,2268338296,0.8086135659715848,0.8096231867326569,0.9196557355034822,-0.04995763706170412,-4.868992238637074,0.04064140263053416,0.040752217178397054,0.06439843758853617,0.7684,0.7686,0.15974586292682252,0.4568,0.8797256105143116,0.0005747562279396699,0.005965927253998325,0.007044625753012008,5000,0,0.0,0
20,main_hi,primary,,0.9,0.9,0.5,0.85,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,3352976826,0.808727778465746,0.8091595327175851,0.9186319711474844,-0.04961322332432545,-4.855555474618121,0.012996112220936707,0.012876120123203952,0.05128681196664499,0.03,0.0294,0.05047389716817688,1.0,0.8803671126251644,0.00018379278160971416,0.0024124676163629634,0.0,5000,0,0.0,0
